Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
CAN,CAN_B05_06,450354.698,4418205.37,4868560.068,Compensation (USD per million USD output),USD per million USD
CAN,CAN_B07_08,752666.8036,1126428.027,1879094.831,Compensation (USD per million USD output),USD per million USD
CAN,CAN_B09,2519694.991,684984.4524,3204679.443,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C10T12,1707066.456,4572588.646,6279655.102,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C13T15,3485815.309,319298.2994,3805113.608,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C16,1264164.616,1305850.456,2570015.073,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C17_18,1540210.767,1407317.97,2947528.737,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C19,1023483.133,1165528.273,2189011.405,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C20,121077.2608,1241239.145,1362316.406,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C21,233928.2026,432209.591,666137.7936,Compensation (USD per million USD output),USD per million USD
CAN,CAN_C22,322197.5475,952375.5661,1274573.114,Compensation (USD per million USD output),USD per million USD
